Цена;Описание;Ссылка
Цена;Описание;Ссылка
Цена;Описание;Ссылка
Цена;Описание;Ссылка
Цена;Описание;Ссылка
Цена;Описание;Ссылка
Цена;Описание;Ссылка
"<div class=""listbox_price text-center"">
<strong>13220 сом</strong>
</div>";;https://www.kivano.kg//product/view/elektronnaya-kniga-amazon-kindle-paperwhite-2018-8gb-rozovaya
"<div class=""listbox_price text-center"">
<strong>27140 сом</strong>
</div>";;https://www.kivano.kg//product/view/elektronnaya-kniga-pocketbook-740-inkpad-3-pro-seraya
"<div class=""listbox_price text-center"">
<strong>23910 сом</strong>
</div>";;https://www.kivano.kg//product/view/elektronnaya-kniga-amazon-kindle-oasis-2017-32gb-seraya
"<div class=""listbox_price text-center"">
<strong>49010 сом</strong>
</div>";;https://www.kivano.kg//product/view/sony-xperia-z2-tablet-16gb-4g
"<div class=""listbox_price text-center"">
<strong>19719 сом</strong>
</div>";;https://www.kivano.kg//product/view/planshet-huawei-mediapad-t3-9-6-16gb-4g-seryy
"<div class=""listbox_price text-center"">
<strong>18906 сом</strong>
</div>";;https://www.kivano.kg//product/view/planshet-lenovo-tab-m10-tb-x505x-32gb-lte-chernyy
"<div class=""listbox_price text-center"">
<strong>12194 сом</strong>
</div>";;https://www.kivano.kg//product/view/stilus-apple-pencil-dlya-ipad-pro-mk0c2zm-a
"<div class=""listbox_price text-center"">
<strong>8900 сом</strong>
</div>";;https://www.kivano.kg//product/view/elektronnaya-kniga-amazon-kindle-9-2019-chernaya
"<div class=""listbox_price text-center"">
<strong>19090 сом</strong>
</div>";;https://www.kivano.kg//product/view/elektronnaya-kniga-pocketbook-pb632-k-cis-bronzovyy
"<div class=""listbox_price text-center"">
<strong>21380 сом</strong>
</div>";;https://www.kivano.kg//product/view/graficheskiy-planshet-wacom-intuos-medium-ctl6100wle-n
"<div class=""listbox_price text-center"">
<strong>9430 сом</strong>
</div>";;https://www.kivano.kg//product/view/graficheskiy-planshet-wacom-intuos-small-ctl4100k-n
"<div class=""listbox_price text-center"">
<strong>11730 сом</strong>
</div>";;https://www.kivano.kg//product/view/graficheskiy-planshet-wacom-intuos-small-ctl4100wle-n
"<div class=""listbox_price text-center"">
<strong>7930 сом</strong>
</div>";;https://www.kivano.kg//product/view/graficheskiy-planshet-wacom-one-medium-ctl672n
"<div class=""listbox_price text-center"">
<strong>6370 сом</strong>
</div>";;https://www.kivano.kg//product/view/graficheskiy-planshet-wacom-one-small-ctl472n
"<div class=""listbox_price text-center"">
<strong>40870 сом</strong>
</div>";;https://www.kivano.kg//product/view/planshet-asus-memo-pad-fhd-10-me302kl-16gb-lte-belyy
"<div class=""listbox_price text-center"">
<strong>37650 сом</strong>
</div>";;https://www.kivano.kg//product/view/planshet-asus-nexus-7c-1a015a
"<div class=""listbox_price text-center"">
<strong>12040 сом</strong>
</div>";;https://www.kivano.kg//product/view/elektronnaya-kniga-pocketbook-616-seraya
"<div class=""listbox_price text-center"">
<strong>11730 сом</strong>
</div>";;https://www.kivano.kg//product/view/graficheskiy-planshet-wacom-intuos-small-ctl-4100wlk0
"<div class=""listbox_price text-center"">
<strong>9430 сом</strong>
</div>";;https://www.kivano.kg//product/view/elektronnaya-kniga-amazon-kindle-9-2019-8gb-chernaya
"<div class=""listbox_price text-center"">
<strong>29150 сом</strong>
</div>";;https://www.kivano.kg//product/view/elektronnaya-kniga-amazon-kindle-oasis-3-2019-32gb-seraya
